id,year,source,title,url,publication_type,independent,reliability,coverage_of_subject,facts_supported,notability_weight,article_use,status,notes,citation_wikitext
CB1,2014,Scribd / U.S. Bankruptcy Court filing copy,Connectedu Bankruptcy Petition,https://www.scribd.com/doc/220960006/Connectedu-Bankruptcy-Petition,Legal filing copy / bankruptcy petition,No / primary,High for narrow filing facts; weak as hosted copy,"Minor. Primary bankruptcy filing for ConnectEDU, Inc., case 14-11238-scc, Doc. 1. Page 8 is the List of Equity Security Holders cover page; page 10 is Schedule A and lists Jeff Alderson.","Alderson was listed in Schedule A of ConnectEDU's List of Equity Security Holders with 139 ordinary common options, 139 total preferred and common, and 0.01% diluted ownership.",None,Use only for the narrow equity-security-holder fact; do not use for notability and prefer an official court copy if available.,Verified from downloaded PDF and rendered page images,Reviewed in sources/legal_bankruptcy_sources.md; local files data/connectedu_bankruptcy_petition.pdf; data/connectedu_bankruptcy_petition_download_text.txt; data/connectedu_bankruptcy_petition_page_08.png; data/connectedu_bankruptcy_petition_page_10.png,"{{cite web |title=Connectedu Bankruptcy Petition |url=https://www.scribd.com/doc/220960006/Connectedu-Bankruptcy-Petition |website=Scribd |date=April 28, 2014 |access-date=June 8, 2026}}"
S9,Unknown,ASEE PEER,Focus More on Teaching than Grading: Try MATLAB Grader,https://peer.asee.org/focus-more-on-teaching-than-grading-try-matlab-grader,Conference paper/proceedings,Likely yes as publication venue; authorship needs review,Potentially Medium to High,Unknown. Site returned anti-bot/heavy-load page during verification.,Potential publication/authorship only after verification.,TBD,Do not cite until reviewed,Located but not verified,"Retained as a publication lead, but not used in draft.",Do not cite until verified
S10,2015-2017,Encoura / Eduventures,Encoura Wake-Up Call Author - Jeffrey Alderson and linked Wake-Up Call articles,https://www.encoura.org/people/jeffery-alderson/,Corporate author profile / affiliated authored articles,No,Medium for profile and authorship facts; not independent for notability,"Sparse profile plus 33 linked affiliated authored Wake-Up Call articles verified from the live author page's Builder content API.",Profile existence; article titles/dates/URLs for Alderson-attributed Encoura/Eduventures Wake-Up Call posts.,None to Low,Do not use for AfC notability; retain as publication-history evidence and leads for independent coverage.,"Verified page and article list; no webinar or Enrollminute items returned for the author ID.",Reviewed in sources/encoura_eduventures_sources.md; local files data/encoura_people_alderson.html and data/encoura_alderson_articles.json,Do not cite for notability
FB1,2017,Facebook,Jeffrey Alderson / Committee to Elect Jeff Alderson for Natick School Committee,https://www.facebook.com/jeff4natick/,Campaign social media / self-published page,No,Low for encyclopedic sourcing; primary/self-published,Very sparse campaign-page metadata.,A Facebook page existed for the Committee to Elect Jeff Alderson for Natick School Committee.,None,Do not use for notability; retain as campaign-context evidence only.,Verified from downloaded HTML metadata,Reviewed in sources/campaign_social_media_sources.md; local file data/facebook_jeff4natick.html,Do not cite for notability
NP1,2017,Natick Patch,ICYMI: Who's Running In The 2017 Natick Town Election?,https://patch.com/massachusetts/natick/icymi-whos-running-2017-natick-town-election,Local election news,Yes,Medium for local election facts,Minor. Article lists candidates for Natick's March 28 2017 town election and identifies Alderson as a School Committee candidate.,Alderson was listed with Donna M. McKenzie and Hayley I. Sonneborn as candidates for two three-year School Committee seats.,Low,Useful for verifying 2017 candidacy; not notability support.,Verified from downloaded HTML,Reviewed in sources/natick_patch_sources.md; local file data/natick_patch_2017_town_election_candidates.html,"{{cite web |last=Arsenault |first=Charlene |title=ICYMI: Who's Running In The 2017 Natick Town Election? |url=https://patch.com/massachusetts/natick/icymi-whos-running-2017-natick-town-election |website=Natick Patch |date=March 11, 2017 |access-date=June 8, 2026}}"
WL1,2017,Wicked Local,NATICK LETTER: Support for School Committee candidate Jeff Alderson,https://www.wickedlocal.com/story/bulletin-tab/2017/03/23/natick-letter-support-for-school/21906287007/,Letter to the editor / local opinion,Partial / opinion,Medium for attributed opinion; low for notability,Letter of support recommending Alderson for Natick School Committee and discussing Waypoint Adventure board service.,Supporter publicly endorsed Alderson for School Committee; potential lead for Waypoint/community-service facts.,Low,Do not use for notability; avoid unless carefully attributed as opinion.,Verified from downloaded HTML,Reviewed in sources/wicked_local_sources.md; local file data/wickedlocal_2017_letter_support_school_committee.html,"{{cite web |title=NATICK LETTER: Support for School Committee candidate Jeff Alderson |url=https://www.wickedlocal.com/story/bulletin-tab/2017/03/23/natick-letter-support-for-school/21906287007/ |website=Wicked Local |date=March 23, 2017 |access-date=June 8, 2026}}"
WL2,2017,Wicked Local,Question for the candidates,https://www.wickedlocal.com/story/bulletin-tab/2017/03/24/question-for-candidates/21899647007/,Local election news / candidate questionnaire,Partial,Medium for local election facts,Moderate for campaign context. Article presents School Committee candidate responses and includes Alderson's response on school social issues and policy process.,Alderson was a 2017 Natick School Committee candidate; he publicly answered a candidate question about school response to social topics and hate crimes.,Low to Medium,Useful for civic-background context if the draft expands prior town-government engagement; not a major notability source.,Verified from downloaded HTML,Reviewed in sources/wicked_local_sources.md; local file data/wickedlocal_2017_question_for_candidates.html,"{{cite web |title=Question for the candidates |url=https://www.wickedlocal.com/story/bulletin-tab/2017/03/24/question-for-candidates/21899647007/ |website=Wicked Local |date=March 24, 2017 |access-date=June 8, 2026}}"
NLTP1,2017,Natick Local Town Pages,Meet the Candidates for Town Committees / Natick March 2017,https://www.yumpu.com/en/document/view/57088486/natick-march-2017,Local monthly publication / candidate statements,Partial,Medium for local election facts; candidate statement is primary,Moderate for campaign context. Article identifies the School Committee candidates and includes a candidate-submitted statement by Alderson.,"Alderson ran for one of two three-year Natick School Committee seats in 2017; his candidate statement discussed public schools, Air Force service, education technology, nonprofit boards, mentoring, disability inclusion, and social justice.",Low to Medium,Use cautiously for candidate-context facts; candidate-authored material is not independent coverage.,Verified from downloaded Yumpu HTML pages 1 and 2/3,Reviewed in sources/natick_local_town_pages_sources.md; local files data/natick_local_town_pages_march_2017.html and data/natick_local_town_pages_march_2017_pages_2_3.html,"{{cite web |last=Whitty |first=Cynthia |title=Meet the Candidates for Town Committees |url=https://www.yumpu.com/en/document/view/57088486/natick-march-2017 |website=Natick Local Town Pages |date=March 2017 |access-date=June 8, 2026}}"
TN1,2017,Town of Natick,Official Election Results - March 28 2017,https://www.natickma.gov/DocumentCenter/View/4563/Official-Election-Results---March-28-2017?bidId=,Official election results,No / primary,High for official election result,Minor. Official PDF lists March 28 2017 School Committee vote totals.,Alderson received 1012 votes; Donna M. Mckenzie received 1020 votes; Hayley I. Sonneborn received 1402 votes. Official margin between McKenzie and Alderson was 8 votes.,Low,Use only to verify official 2017 election result and vote totals; not notability support.,Verified from downloaded PDF and extracted text,Reviewed in sources/town_of_natick_sources.md; local files data/town_of_natick_2017_official_election_results.pdf and data/town_of_natick_2017_official_election_results.txt,"{{cite web |title=Official Election Results - March 28, 2017 |url=https://www.natickma.gov/DocumentCenter/View/4563/Official-Election-Results---March-28-2017?bidId= |website=Town of Natick |date=April 4, 2017 |access-date=June 8, 2026}}"
S11,2021,ASME Mechanical Engineering,Future Ready: From Education to Industry More...,https://doi.org/10.1115/1.2021-Sept2,Trade publication article/interview,Likely yes,Potentially Medium to High,Unknown; DOI resolved to Cloudflare-blocked ASME page.,None until reviewed.,TBD,Do not cite until reviewed,Located but blocked/not reviewed,Potentially useful if it includes substantive interview/profile coverage.,Do not cite until verified
N1,2026,Natick Report,"Natick Town Meeting night #2; Police log; Field & hybrid meeting reports; Two nights, two nights...",https://www.natickreport.com/2026/05/natick-town-meeting-night-2-police-log-field-two-nights-two-nights/,Local news,Yes,Medium for local public-role facts; limited notability value,"Moderate for moderator activity. Reports Alderson thanking participants, joking about a two-night meeting, and member reaction.","As moderator, Alderson presided over Spring 2026 Town Meeting and commented on the meeting concluding in two nights.",Low to Medium,Context only; not necessary for current article draft unless expanding municipal-service section.,Verified from Natick Report search result and article body,Reviewed in sources/natick_report_sources.md; local file data/natick_report_01_natick-town-meeting-night-2-police-log-field-two-nights-two-nights.html,"{{cite web |last=Brown |first=Bob |title=Natick Town Meeting night #2; Police log; Field & hybrid meeting reports; Two nights, two nights... |url=https://www.natickreport.com/2026/05/natick-town-meeting-night-2-police-log-field-two-nights-two-nights/ |website=Natick Report |date=May 4, 2026 |access-date=June 8, 2026}}"
N2,2026,Natick Report,"Natick Spring Annual Town Meeting night #1: $212m budget OKd; plus, history lessons",https://www.natickreport.com/2026/04/natick-spring-annual-town-meeting-night-1-212m-budget-okd-plus-history-lessons/,Local news,Yes,Medium for local public-role facts; limited notability value,Minor. Notes that Alderson read a statement on the 250th anniversary of the American Revolution.,Alderson read a historical statement at Town Meeting.,Low,Do not include unless discussing the 2026 Town Meeting statement.,Verified from Natick Report search result and article body,Reviewed in sources/natick_report_sources.md; local file data/natick_report_02_natick-spring-annual-town-meeting-night-1-212m-budget-okd-plus-history-lessons.html,"{{cite web |last=Brown |first=Bob |title=Natick Spring Annual Town Meeting night #1: $212m budget OKd; plus, history lessons |url=https://www.natickreport.com/2026/04/natick-spring-annual-town-meeting-night-1-212m-budget-okd-plus-history-lessons/ |website=Natick Report |date=April 30, 2026 |access-date=June 8, 2026}}"
N3,2026,Natick Report,Prepping for an historically significant Natick Spring Annual Town Meeting,https://www.natickreport.com/2026/04/prepping-for-an-historically-significant-natick-spring-annual-town-meeting/,Local news,Yes,Medium for local public-role facts; limited notability value,"Moderate for official activity. Identifies Alderson as Town Moderator, notes his role in a Spring 2026 primer video and planned anniversary statement.",Alderson joined town officials in a Spring Annual Town Meeting primer video and issued a statement connected to the 250th anniversary of the American Revolution.,Low to Medium,Useful municipal-service context; not needed for current short draft.,Verified from Natick Report search result and article body,Reviewed in sources/natick_report_sources.md; local file data/natick_report_03_prepping-for-an-historically-significant-natick-spring-annual-town-meeting.html,"{{cite web |title=Prepping for an historically significant Natick Spring Annual Town Meeting |url=https://www.natickreport.com/2026/04/prepping-for-an-historically-significant-natick-spring-annual-town-meeting/ |website=Natick Report |date=April 21, 2026 |access-date=June 8, 2026}}"
N4,2026,Natick Report,Natick Town Moderators statement in celebration of the 250th anniversary of the American Revolution,https://www.natickreport.com/2026/04/natick-town-moderators-statement-in-celebration-of-the-250th-anniversary-of-the-american-revolution/,Local opinion/primary statement,Partial / opinion,Medium for local public-role facts; limited notability value,Primary/opinion-like statement published by Natick Report. Not independent coverage of Alderson.,Alderson authored or supplied a statement as Town Moderator.,None to Low,Do not use for notability; only use as primary evidence if the statement itself becomes relevant.,Verified from Natick Report search result and article body,Reviewed in sources/natick_report_sources.md; local file data/natick_report_04_natick-town-moderators-statement-in-celebration-of-the-250th-anniversary-of-the-american-revolution.html,"{{cite web |title=Natick Town Moderators statement in celebration of the 250th anniversary of the American Revolution |url=https://www.natickreport.com/2026/04/natick-town-moderators-statement-in-celebration-of-the-250th-anniversary-of-the-american-revolution/ |website=Natick Report |date=April 17, 2026 |access-date=June 8, 2026}}"
N5,2026,Natick Report,Longtime Natick resident Paul Connolly recalled for remarkable civic & community service,https://www.natickreport.com/2026/02/longtime-natick-resident-paul-connolly-recalled-for-remarkable-civic-community-service/,Local news,Yes,Medium for local public-role facts; limited notability value,"Moderate but article is about Paul Connolly. Includes Alderson comments on Connolly, shared Air Force officer background, engineering careers, and inspiration to run for moderator.",Alderson said Connolly influenced his understanding of Town Meeting procedure and helped inspire him to run for moderator; Alderson identified both himself and Connolly as former Air Force captains with engineering careers.,Low to Medium,Useful if adding detail about why Alderson ran for moderator; use cautiously because facts come through Alderson quote in article about another person.,Verified from Natick Report search result and article body,Reviewed in sources/natick_report_sources.md; local file data/natick_report_05_longtime-natick-resident-paul-connolly-recalled-for-remarkable-civic-community-service.html,"{{cite web |last=Brown |first=Bob |title=Longtime Natick resident Paul Connolly recalled for remarkable civic & community service |url=https://www.natickreport.com/2026/02/longtime-natick-resident-paul-connolly-recalled-for-remarkable-civic-community-service/ |website=Natick Report |date=February 20, 2026 |access-date=June 8, 2026}}"
N6,2025,Natick Report,Volunteers sought to join Natick Hybrid Town Meeting Committee,https://www.natickreport.com/2025/11/volunteers-sought-to-join-natick-hybrid-town-meeting-committee/,Local news,Yes,Medium for local public-role facts; limited notability value,Moderate for official activity. Focuses on Alderson seeking applicants for the Hybrid Town Meeting Committee and describes appointment/report process.,"As Town Moderator, Alderson sought Town Meeting members for a Hybrid Town Meeting Committee and would appoint committee members.",Low to Medium,Recommended for draft if retaining one example of moderator activity.,Verified from Natick Report search result and article body,Reviewed in sources/natick_report_sources.md; local file data/natick_report_06_volunteers-sought-to-join-natick-hybrid-town-meeting-committee.html,"{{cite web |last=Brown |first=Bob |title=Volunteers sought to join Natick Hybrid Town Meeting Committee |url=https://www.natickreport.com/2025/11/volunteers-sought-to-join-natick-hybrid-town-meeting-committee/ |website=Natick Report |date=November 20, 2025 |access-date=June 8, 2026}}"
N7,2025,Natick Report,Natick Fall Annual Town Meeting night #4: ADUs; Charter & By-Law Review Committee winds down; its a wrap,https://www.natickreport.com/2025/10/natick-fall-annual-town-meeting-night-4-adus-charter-its-a-wrap/,Local news,Yes,Medium for local public-role facts; limited notability value,Minor. Notes Alderson acknowledged the passing of a former Town Meeting member.,Alderson presided at Fall Annual Town Meeting night 4 and acknowledged John R. Culkin.,Low,Do not include in article draft; dossier only.,Verified from Natick Report search result and article body,Reviewed in sources/natick_report_sources.md; local file data/natick_report_07_natick-fall-annual-town-meeting-night-4-adus-charter-its-a-wrap.html,"{{cite web |last=Brown |first=Bob |title=Natick Fall Annual Town Meeting night #4: ADUs; Charter & By-Law Review Committee winds down; its a wrap |url=https://www.natickreport.com/2025/10/natick-fall-annual-town-meeting-night-4-adus-charter-its-a-wrap/ |website=Natick Report |date=October 31, 2025 |access-date=June 8, 2026}}"
N8,2025,Natick Report,Natick Fall Annual Town Meeting night #3: Community Preservation funds flow to 5 Auburn & more; Get ready for more downtown signs,https://www.natickreport.com/2025/10/natick-fall-annual-town-meeting-night-3-community-preservation-funds-flow-to-5-auburn-get-ready-for-more-downtown-signs/,Local news,Yes,Medium for local public-role facts; limited notability value,Moderate for official activity. Includes a subsection on Alderson seeking interest in a future deputy moderator position after state approval of a home-rule petition.,Alderson discussed potential deputy moderator interest during a Town Meeting electronic voting test question.,Low to Medium,Useful municipal-service context; not needed for current draft.,Verified from Natick Report search result and article body,Reviewed in sources/natick_report_sources.md; local file data/natick_report_08_natick-fall-annual-town-meeting-night-3-community-preservation-funds-flow-to-5-auburn-get-ready-for-more-downtown-signs.html,"{{cite web |last=Brown |first=Bob |title=Natick Fall Annual Town Meeting night #3: Community Preservation funds flow to 5 Auburn & more; Get ready for more downtown signs |url=https://www.natickreport.com/2025/10/natick-fall-annual-town-meeting-night-3-community-preservation-funds-flow-to-5-auburn-get-ready-for-more-downtown-signs/ |website=Natick Report |date=October 29, 2025 |access-date=June 8, 2026}}"
N9,2025,Natick Report,Natick Fall Annual Town Meeting 2025 begins Tuesday night (Oct. 21),https://www.natickreport.com/2025/10/natick-fall-annual-town-meeting-2025-begins-tuesday-night-oct-21/,Local news,Yes,Medium for local public-role facts; limited notability value,Minor to moderate. Notes Alderson hosted primer videos with town officials.,Alderson hosted Fall 2025 Town Meeting primer videos with town officials.,Low,Dossier only unless expanding municipal-service activity.,Verified from Natick Report search result and article body,Reviewed in sources/natick_report_sources.md; local file data/natick_report_09_natick-fall-annual-town-meeting-2025-begins-tuesday-night-oct-21.html,"{{cite web |last=Brown |first=Bob |title=Natick Fall Annual Town Meeting 2025 begins Tuesday night (Oct. 21) |url=https://www.natickreport.com/2025/10/natick-fall-annual-town-meeting-2025-begins-tuesday-night-oct-21/ |website=Natick Report |date=October 21, 2025 |access-date=June 8, 2026}}"
N10,2025,Natick Report,Natick Fall Annual Town Meeting prep for those who prefer video,https://www.natickreport.com/2025/10/natick-fall-annual-town-meeting-prep-for-those-who-prefer-video/,Local news,Yes,Medium for local public-role facts; limited notability value,Minor. Reports local group hosted Alderson and Finance Committee chair to discuss the Town Meeting warrant.,Alderson participated in a Coffee With a Purpose session on the Fall Town Meeting warrant.,Low,Dossier only.,Verified from Natick Report search result and article body,Reviewed in sources/natick_report_sources.md; local file data/natick_report_10_natick-fall-annual-town-meeting-prep-for-those-who-prefer-video.html,"{{cite web |last=Brown |first=Bob |title=Natick Fall Annual Town Meeting prep for those who prefer video |url=https://www.natickreport.com/2025/10/natick-fall-annual-town-meeting-prep-for-those-who-prefer-video/ |website=Natick Report |date=October 7, 2025 |access-date=June 8, 2026}}"
N11,2025,Natick Report,Natick Spring Annual Town Meeting night #4 (finale): bylaws updated; stabilization fund changes rejected,https://www.natickreport.com/2025/05/natick-spring-annual-town-meeting-night-4-finale-bylaws-updated-stabilization-fund-changes-rejected/,Local news,Yes,Medium for local public-role facts; limited notability value,Moderate for transition/performance as moderator. Notes mutual respect between Alderson and former moderator Frank Foss at the end of Spring Town Meeting.,Alderson thanked Foss for helping him prepare; Foss praised Alderson at the end of Spring Town Meeting.,Low to Medium,Useful context if expanding section on start of moderator tenure; not necessary for short draft.,Verified from Natick Report search result and article body,Reviewed in sources/natick_report_sources.md; local file data/natick_report_11_natick-spring-annual-town-meeting-night-4-finale-bylaws-updated-stabilization-fund-changes-rejected.html,"{{cite web |last=Brown |first=Bob |title=Natick Spring Annual Town Meeting night #4 (finale): bylaws updated; stabilization fund changes rejected |url=https://www.natickreport.com/2025/05/natick-spring-annual-town-meeting-night-4-finale-bylaws-updated-stabilization-fund-changes-rejected/ |website=Natick Report |date=May 9, 2025 |access-date=June 8, 2026}}"
N12,2025,Natick Report,"Natick Spring Annual Town Meeting night #3: Zoning articles on floodplain maps, body art, ADUs & indoor rec",https://www.natickreport.com/2025/05/natick-spring-annual-town-meeting-night-3-zoning-articles-on-floodplain-maps-body-art-adus-indoor-rec/,Local news,Yes,Medium for local public-role facts; limited notability value,Minor. Mentions Alderson moderating and making light comments during proceedings.,Alderson moderated the third night of Spring Annual Town Meeting.,Low,Dossier only.,Verified from Natick Report search result and article body,Reviewed in sources/natick_report_sources.md; local file data/natick_report_12_natick-spring-annual-town-meeting-night-3-zoning-articles-on-floodplain-maps-body-art-adus-indoor-rec.html,"{{cite web |last=Brown |first=Bob |title=Natick Spring Annual Town Meeting night #3: Zoning articles on floodplain maps, body art, ADUs & indoor rec |url=https://www.natickreport.com/2025/05/natick-spring-annual-town-meeting-night-3-zoning-articles-on-floodplain-maps-body-art-adus-indoor-rec/ |website=Natick Report |date=May 8, 2025 |access-date=June 8, 2026}}"
N13,2025,Natick Report,Community commendable - thanks to Frank Foss for 18 years as Town Meeting moderator,https://www.natickreport.com/2025/05/community-commendable-thanks-to-frank-foss-for-18-years-as-town-meeting-moderator/,Local news,Yes,Medium for local public-role facts; limited notability value,Minor. Article is about Frank Foss; notes new moderator Alderson read a legislative citation into the record.,Alderson read a citation honoring Frank Foss.,Low,Dossier only; article is about Foss.,Verified from Natick Report search result and article body,Reviewed in sources/natick_report_sources.md; local file data/natick_report_13_community-commendable-thanks-to-frank-foss-for-18-years-as-town-meeting-moderator.html,"{{cite web |title=Community commendable - thanks to Frank Foss for 18 years as Town Meeting moderator |url=https://www.natickreport.com/2025/05/community-commendable-thanks-to-frank-foss-for-18-years-as-town-meeting-moderator/ |website=Natick Report |date=May 2, 2025 |access-date=June 8, 2026}}"
